id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
659221,Landing Page Submission,Organic Search,Yes,No,0,5.0,100,5.0,Page Visited on Website,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
659203,API,Google,No,No,1,2.0,160,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659191,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Businessman,No,No,No,No,No,No,15.0,19.0,No
659182,API,Google,No,No,0,1.0,263,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,14.0,No
659158,Lead Add Form,Reference,No,No,1,,986,,,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,19.0,No
659141,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Hospitality Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No
659132,Landing Page Submission,Referral Sites,No,No,0,7.0,41,3.5,Email Opened,Services Excellence,,No,No,No,No,No,No,14.0,14.0,Yes
659123,Landing Page Submission,Google,No,No,0,5.0,386,5.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,17.0,No
659117,API,Referral Sites,No,No,0,6.0,216,2.0,Page Visited on Website,,,No,No,No,No,No,No,14.0,13.0,No
659106,Landing Page Submission,Google,No,No,1,5.0,1603,5.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
659094,Landing Page Submission,google,No,No,0,7.0,106,3.5,Page Visited on Website,Select,,No,No,No,No,No,No,14.0,13.0,No
659079,API,Google,No,No,0,2.0,73,2.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
659076,API,Google,No,No,0,2.0,77,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
659074,Landing Page Submission,Direct Traffic,No,No,0,3.0,718,3.0,Unreachable,Hospitality Management,,No,No,No,No,No,No,13.0,14.0,Yes
659069,Landing Page Submission,Google,No,No,0,5.0,432,1.67,Chat Conversation,Marketing Management,,No,No,No,No,No,No,14.0,18.0,No
659057,Landing Page Submission,Google,No,No,0,5.0,232,2.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,16.0,No
659036,Landing Page Submission,Direct Traffic,No,No,1,1.0,1808,1.0,Converted to Lead,IT Projects Management,,No,No,No,No,No,No,14.0,14.0,Yes
658932,API,Referral Sites,No,No,0,4.0,174,2.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,13.0,13.0,No
658917,Landing Page Submission,Direct Traffic,No,No,0,4.0,1149,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,18.0,No
658888,Landing Page Submission,Direct Traffic,No,No,0,2.0,333,2.0,Email Opened,E-COMMERCE,,No,No,No,No,No,No,14.0,13.0,Yes
658856,API,Organic Search,No,No,0,7.0,471,2.33,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658852,Landing Page Submission,Direct Traffic,No,No,1,3.0,1010,3.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
658831,API,Chat,No,No,1,10.0,1815,3.33,Had a Phone Conversation,Operations Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
658826,Landing Page Submission,Direct Traffic,No,No,1,3.0,1528,1.5,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
658793,Landing Page Submission,Google,No,No,1,6.0,919,6.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
658779,API,Organic Search,No,No,0,10.0,194,5.0,Email Link Clicked,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,15.0,No
658773,API,Organic Search,No,No,0,1.0,1173,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658766,API,Google,No,No,0,2.0,351,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
658756,Landing Page Submission,Referral Sites,No,No,0,12.0,493,12.0,Email Link Clicked,Marketing Management,,No,No,No,No,No,No,16.0,16.0,Yes
658714,API,Referral Sites,No,No,0,2.0,1944,2.0,Email Opened,,,No,No,No,No,No,No,14.0,13.0,No
658689,Landing Page Submission,Google,No,No,0,5.0,65,5.0,Unreachable,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
658686,API,Organic Search,No,No,0,7.0,1334,7.0,Email Opened,Business Administration,,No,No,No,No,No,No,14.0,16.0,Yes
658677,API,Google,No,No,0,7.0,615,7.0,Form Submitted on Website,"Banking, Investment And Insurance",,No,No,No,No,No,No,13.0,15.0,No
658675,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,14.0,20.0,No
658620,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658618,API,Referral Sites,No,No,0,4.0,904,4.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,17.0,13.0,No
658612,API,Google,No,No,0,1.0,164,1.0,Converted to Lead,,,No,No,No,No,No,No,14.0,15.0,No
658606,API,Google,No,No,0,2.0,1793,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
658597,API,Organic Search,No,No,0,5.0,1841,5.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658561,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Unreachable,Retail Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
658531,API,Organic Search,No,No,1,6.0,385,6.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
658481,API,Google,No,No,0,12.0,68,1.71,Page Visited on Website,Media and Advertising,,No,No,No,No,No,No,16.0,15.0,No
658458,Landing Page Submission,Google,No,No,0,3.0,192,3.0,Email Opened,International Business,,No,No,No,No,No,No,14.0,17.0,No
658432,Lead Add Form,Reference,No,No,1,,785,,Approached upfront,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No
658430,API,Organic Search,No,No,0,4.0,342,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658421,API,Google,No,No,0,2.0,78,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658405,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
658353,API,Organic Search,No,No,0,8.0,14,8.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658323,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658322,API,Referral Sites,No,No,0,4.0,77,4.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,13.0,No
658309,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
658288,API,Organic Search,No,No,0,5.0,358,5.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658281,Landing Page Submission,Direct Traffic,No,No,0,3.0,481,3.0,Email Link Clicked,"Banking, Investment And Insurance",,No,No,No,No,No,No,13.0,16.0,Yes
658278,API,Direct Traffic,No,No,0,2.0,205,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
658264,Landing Page Submission,Direct Traffic,No,No,1,9.0,1953,1.8,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No
658258,Lead Add Form,Reference,No,No,1,,1070,,,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
658243,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
658234,Landing Page Submission,Google,No,No,0,5.0,207,2.5,Form Submitted on Website,Finance Management,,No,No,No,No,No,No,12.0,18.0,No
658231,Landing Page Submission,Direct Traffic,No,No,1,2.0,1587,2.0,Email Opened,E-COMMERCE,Unemployed,No,No,No,No,No,No,14.0,13.0,No
658222,Landing Page Submission,Direct Traffic,No,No,1,2.0,1509,2.0,Email Opened,E-Business,Unemployed,No,No,No,No,No,No,10.0,18.0,Yes
658220,API,Organic Search,No,No,0,4.0,331,4.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
658206,Landing Page Submission,Direct Traffic,No,No,0,4.0,187,4.0,Email Link Clicked,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
658203,API,Organic Search,No,No,1,3.0,1407,1.5,Converted to Lead,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658193,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,15.0,18.0,No
658188,Landing Page Submission,Google,No,No,0,1.0,123,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
658178,API,Organic Search,No,No,0,1.0,100,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658142,Landing Page Submission,Direct Traffic,No,No,1,9.0,1164,4.5,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,16.0,15.0,Yes
658089,Landing Page Submission,Direct Traffic,No,No,1,1.0,1362,1.0,Unreachable,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,14.0,No
658081,API,Direct Traffic,No,No,0,7.0,1051,3.5,Chat Conversation,,,No,No,No,No,No,No,14.0,15.0,No
658071,Landing Page Submission,Google,No,No,0,2.0,1816,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
658070,Landing Page Submission,Direct Traffic,No,No,0,7.0,74,2.33,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
658048,Landing Page Submission,Direct Traffic,No,No,1,3.0,1183,3.0,Email Opened,Finance Management,,No,No,No,No,No,No,13.0,17.0,Yes
658029,Landing Page Submission,Direct Traffic,No,No,0,3.0,66,3.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,14.0,Yes
658023,API,Chat,No,No,0,3.0,1122,1.5,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
658017,Landing Page Submission,Organic Search,No,No,0,6.0,135,6.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
658011,Landing Page Submission,Direct Traffic,No,No,0,9.0,307,1.8,Chat Conversation,E-Business,,No,No,No,No,No,No,14.0,18.0,Yes
657990,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
657971,Landing Page Submission,google,No,No,0,5.0,306,5.0,Page Visited on Website,Select,,No,No,No,No,No,No,14.0,13.0,No
657951,Landing Page Submission,Direct Traffic,No,No,0,2.0,1054,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
657941,API,Organic Search,No,No,1,3.0,195,3.0,Converted to Lead,Operations Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No
657920,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
657905,Landing Page Submission,Google,No,No,1,3.0,732,3.0,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,14.0,17.0,No
657902,API,Chat,No,No,0,7.0,1130,2.33,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
657899,API,Organic Search,No,No,0,13.0,594,4.33,Had a Phone Conversation,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657882,API,Referral Sites,No,No,0,14.0,354,14.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
657879,API,Google,No,No,0,3.0,217,3.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657823,API,Direct Traffic,No,No,1,5.0,1837,2.5,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
657821,Landing Page Submission,Google,No,No,0,1.0,302,1.0,Converted to Lead,Human Resource Management,,No,No,No,No,No,No,14.0,17.0,No
657754,Landing Page Submission,Google,No,No,0,4.0,144,4.0,Email Opened,Operations Management,,No,No,No,No,No,No,13.0,17.0,No
657741,API,Organic Search,No,No,1,2.0,631,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
657731,Landing Page Submission,Direct Traffic,No,No,1,1.0,891,1.0,Converted to Lead,Operations Management,Student,No,No,No,No,No,No,15.0,19.0,Yes
657697,Landing Page Submission,Google,No,No,0,2.0,453,2.0,Email Link Clicked,Services Excellence,,No,No,No,No,No,No,12.0,15.0,No
657691,API,Referral Sites,No,No,0,3.0,60,1.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
657676,API,Organic Search,No,No,0,9.0,96,4.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657655,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657643,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
657611,Lead Add Form,Reference,No,No,1,,1704,,,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
657609,API,Organic Search,No,No,1,3.0,1154,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
657590,Lead Add Form,Reference,No,No,1,,1262,,,Operations Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
657586,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,14.0,19.0,No
657572,Landing Page Submission,Referral Sites,No,No,1,6.0,104,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
657510,API,Google,No,No,0,3.0,331,3.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
657502,Landing Page Submission,Google,No,No,0,5.0,294,2.5,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,12.0,15.0,No
657500,API,Organic Search,No,No,0,5.0,345,5.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
657480,API,Google,No,No,0,2.0,172,2.0,Chat Conversation,,,No,No,No,No,No,No,11.0,15.0,No
657452,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657436,API,Referral Sites,No,No,0,4.0,436,4.0,Email Link Clicked,,,No,No,No,No,No,No,12.0,13.0,No
657426,Landing Page Submission,google,No,No,0,5.0,1008,5.0,Page Visited on Website,Select,,No,No,No,No,No,No,15.0,14.0,No
657421,Landing Page Submission,Google,No,No,0,8.0,43,8.0,Chat Conversation,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
657390,Landing Page Submission,Google,No,No,0,4.0,294,4.0,Email Opened,E-Business,Unemployed,No,No,No,No,No,No,13.0,18.0,No
657388,API,Organic Search,No,No,0,2.0,1528,1.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
